lon,lat
-120.8892,39.1453
-121.0326,39.1442
-120.9990,39.1510
-120.9653,39.1579
-120.9316,39.1646
-120.8980,39.1714
-120.8643,39.1782
-120.8306,39.1850
-121.0414,39.1703
-121.0078,39.1771
-120.8730,39.2043
-120.8393,39.2111
-120.8056,39.2179
-121.3194,39.1415
-121.0502,39.1964
-121.0165,39.2032
-120.8481,39.2372
-120.8143,39.2440
-120.7806,39.2507
-120.7469,39.2575
-120.7131,39.2642
-120.5781,39.2911
-120.5444,39.2978
-120.5106,39.3044
-121.3283,39.1676
-121.2947,39.1745
-121.0927,39.2157
-121.0590,39.2225
-121.0254,39.2293
-120.7219,39.2903
-120.6881,39.2971
-120.6543,39.3038
-120.6206,39.3105
-120.5868,39.3172
-120.5530,39.3239
-121.5726,39.1450
-121.5390,39.1520
-121.4718,39.1659
-121.3709,39.1867
-121.3372,39.1936
-121.3036,39.2005
-121.1016,39.2418
-121.0679,39.2486
-120.6630,39.3299
-120.6292,39.3366
-120.5954,39.3433
-121.6488,39.1571
-121.6152,39.1641
-121.5816,39.1711
-121.5480,39.1781
-121.5144,39.1850
-121.4808,39.1920
-121.4471,39.1990
-121.4135,39.2059
-121.3798,39.2128
-121.3125,39.2266
-121.2788,39.2335
-121.1104,39.2679
-121.0767,39.2747
-121.8258,39.1481
-121.7922,39.1551
-121.7251,39.1692
-121.6579,39.1832
-121.6242,39.1902
-121.5906,39.1972
-121.5234,39.2111
-121.4897,39.2181
-121.4561,39.2250
-121.4224,39.2319
-121.2877,39.2596
-121.1192,39.2940
-121.0855,39.3008
-121.9692,39.1458
-121.8685,39.1671
-121.8349,39.1741
-121.7677,39.1882
-121.7341,39.1952
-121.6669,39.2092
-121.5660,39.2302
-121.4987,39.2441
-121.4650,39.2511
-121.2630,39.2926
-121.2292,39.2995
-121.1618,39.3132
-121.1281,39.3201
-122.0455,39.1577
-122.0119,39.1648
-121.9784,39.1719
-121.9448,39.1790
-121.9112,39.1860
-121.8776,39.1931
-121.7768,39.2142
-121.7432,39.2213
-121.6759,39.2353
-121.6423,39.2423
-121.5750,39.2563
-121.5077,39.2702
-121.4740,39.2771
-121.4403,39.2841
-121.4066,39.2910
-121.3730,39.2980
-121.3393,39.3049
-121.3056,39.3118
-121.2719,39.3187
-121.2381,39.3255
-121.2044,39.3324
-121.1707,39.3393
-122.2560,39.1409
-122.2224,39.1480
-122.1889,39.1552
-122.1554,39.1623
-122.0547,39.1837
-122.0211,39.1908
-121.9875,39.1979
-121.7523,39.2473
-121.6513,39.2683
-121.5840,39.2823
-121.5167,39.2963
-121.4830,39.3032
-121.3145,39.3379
-121.2808,39.3447
-122.2652,39.1668
-122.2317,39.1740
-122.1981,39.1812
-122.1646,39.1883
-122.1310,39.1955
-122.0974,39.2026
-122.0639,39.2097
-122.0303,39.2168
-121.9967,39.2239
-121.7613,39.2734
-121.6604,39.2944
-121.5930,39.3084
-121.5593,39.3154
-121.4920,39.3293
-121.3571,39.3570
-121.3234,39.3639
-122.2745,39.1929
-122.2409,39.2000
-122.2074,39.2072
-122.1738,39.2143
-122.1402,39.2215
-122.0394,39.2428
-122.0058,39.2499
-121.7368,39.3064
-121.6694,39.3205
-121.5684,39.3414
-121.5010,39.3554
-121.3998,39.3762
-121.3661,39.3831
-122.2837,39.2189
-122.2502,39.2260
-122.2166,39.2332
-122.1494,39.2475
-122.0822,39.2617
-122.0486,39.2689
-122.0150,39.2760
-121.7458,39.3325
-121.6448,39.3535
-121.5774,39.3675
-121.5437,39.3745
-121.5100,39.3814
-121.4088,39.4022
-122.2930,39.2449
-122.2594,39.2520
-122.1586,39.2735
-122.1250,39.2807
-122.0914,39.2878
-122.0242,39.3020
-121.7549,39.3585
-121.6875,39.3725
-121.6538,39.3796
-121.5527,39.4005
-121.5190,39.4075
-121.4852,39.4144
-121.4177,39.4283
-122.2687,39.2781
-122.0334,39.3280
-121.7640,39.3846
-121.7303,39.3916
-121.6966,39.3986
-121.5617,39.4266
-121.5280,39.4335
-121.4942,39.4405
-121.4605,39.4474
-121.4267,39.4544
-122.2780,39.3040
-122.0426,39.3540
-122.0089,39.3612
-121.7394,39.4176
-121.6720,39.4317
-121.5707,39.4526
-121.5370,39.4596
-121.5032,39.4665
-121.4695,39.4735
-122.2872,39.3301
-122.2536,39.3372
-122.0181,39.3872
-121.7485,39.4437
-121.7148,39.4507
-121.6810,39.4577
-121.5798,39.4787
-121.5460,39.4856
-121.5122,39.4926
-121.4447,39.5065
-121.4109,39.5134
-121.3771,39.5204
-121.3433,39.5273
-121.3095,39.5342
-122.2965,39.3561
-122.2629,39.3632
-122.0273,39.4132
-121.7238,39.4767
-121.6901,39.4838
-121.5888,39.5047
-121.5550,39.5117
-121.5213,39.5187
-121.4875,39.5256
-121.3184,39.5603
-122.2722,39.3892
-121.6992,39.5098
-121.6654,39.5168
-121.6316,39.5238
-121.5979,39.5308
-121.5641,39.5378
-121.5303,39.5447
-121.4965,39.5517
-122.2815,39.4152
-122.2478,39.4224
-121.6745,39.5429
-121.6407,39.5499
-121.6069,39.5568
-121.5731,39.5638
-121.5393,39.5708
-121.5055,39.5778
-122.2907,39.4412
-122.2571,39.4484
-121.7174,39.5619
-121.6836,39.5689
-121.6498,39.5759
-121.6160,39.5829
-121.5822,39.5899
-121.5145,39.6038
-122.3000,39.4672
-122.2664,39.4744
-121.6927,39.5950
-121.6589,39.6020
-121.6251,39.6090
-121.5912,39.6159
-121.5236,39.6299
-122.2756,39.5004
-121.7694,39.6070
-121.7018,39.6210
-121.6680,39.6280
-121.6341,39.6350
-121.6003,39.6420
-121.5665,39.6490
-121.4988,39.6629
-122.2849,39.5264
-122.2512,39.5336
-121.7785,39.6330
-121.7447,39.6400
-121.7109,39.6471
-121.6432,39.6611
-121.5755,39.6750
-121.5417,39.6820
-121.5078,39.6890
-121.4739,39.6959
-122.2943,39.5524
-122.2605,39.5596
-121.7877,39.6590
-121.7538,39.6661
-121.7200,39.6731
-121.6523,39.6871
-121.6184,39.6941
-121.5846,39.7011
-121.5169,39.7150
-121.4830,39.7220
-122.2698,39.5856
-121.7968,39.6851
-121.7630,39.6921
-121.7291,39.6991
-121.6953,39.7062
-121.6614,39.7132
-121.6275,39.7201
-121.4920,39.7480
-121.4581,39.7550
-122.2791,39.6116
-121.9075,39.6900
-121.8736,39.6970
-121.8398,39.7041
-121.8059,39.7111
-121.7721,39.7182
-121.7382,39.7252
-121.7044,39.7322
-121.6705,39.7392
-121.6366,39.7462
-121.6027,39.7532
-121.4671,39.7810
-122.2885,39.6376
-122.2547,39.6448
-121.9167,39.7160
-121.8490,39.7301
-121.7812,39.7442
-121.6796,39.7653
-121.6118,39.7792
-121.5779,39.7862
-121.4762,39.8071
-121.4423,39.8141
-121.4083,39.8210
-122.2640,39.6708
-121.8920,39.7491
-121.8581,39.7561
-121.8243,39.7632
-121.7904,39.7702
-121.7565,39.7773
-121.6548,39.7983
-121.6209,39.8053
-121.4173,39.8471
-121.3834,39.8540
-122.2733,39.6968
-122.2057,39.7111
-122.1719,39.7183
-122.0028,39.7539
-121.9689,39.7610
-121.9351,39.7680
-121.9012,39.7751
-121.8673,39.7822
-121.8334,39.7892
-121.7995,39.7963
-121.7657,39.8033
-121.6300,39.8313
-121.3924,39.8800
-121.3584,39.8870
-122.2826,39.7228
-122.2488,39.7300
-122.1812,39.7443
-122.1135,39.7585
-122.0797,39.7657
-122.0459,39.7728
-121.9104,39.8011
-121.8426,39.8153
-121.6391,39.8574
-121.6052,39.8644
-121.3675,39.9130
-121.3335,39.9199
-121.2995,39.9268
-122.2582,39.7560
-122.1905,39.7703
-122.1567,39.7774
-122.1228,39.7846
-122.0890,39.7917
-122.0551,39.7988
-121.8518,39.8413
-121.8179,39.8483
-121.6143,39.8904
-121.5803,39.8974
-121.3085,39.9529
-121.2744,39.9598
-122.2675,39.7820
-122.1998,39.7963
-122.1659,39.8034
-122.0982,39.8177
-121.8610,39.8673
-121.8271,39.8744
-121.7931,39.8814
-121.2834,39.9859
-121.2494,39.9928
-121.2154,39.9996
-122.2768,39.8080
-122.1075,39.8437
-122.0736,39.8508
-121.8702,39.8934
-121.8363,39.9004
-121.2584,40.0188
-121.2243,40.0257
-122.2862,39.8340
-122.2523,39.8411
-122.1168,39.8697
-122.0829,39.8768
-121.9133,39.9123
-121.8794,39.9194
-121.8454,39.9264
-121.2333,40.0518
-121.1992,40.0587
-121.1652,40.0655
-122.2616,39.8671
-122.0922,39.9029
-121.9225,39.9383
-121.8546,39.9525
-121.1400,40.0985
-122.2710,39.8931
-122.1015,39.9289
-122.0336,39.9431
-121.9657,39.9573
-121.9318,39.9644
-121.8638,39.9785
-121.1490,40.1246
-122.2803,39.9191
-122.1107,39.9549
-122.0429,39.9691
-121.9750,39.9833
-121.1921,40.1438
-121.1580,40.1506
-122.2897,39.9451
-122.2558,39.9523
-122.1201,39.9809
-122.0861,39.9880
-122.0521,39.9951
-121.9842,40.0093
-121.8823,40.0306
-121.2011,40.1699
-121.1669,40.1767
-122.2651,39.9783
-122.1294,40.0069
-122.0954,40.0140
-122.0614,40.0211
-122.0275,40.0283
-121.9935,40.0354
-121.8915,40.0566
-122.2745,40.0043
-122.1387,40.0329
-122.1047,40.0401
-122.0707,40.0472
-122.0367,40.0543
-121.9007,40.0826
-122.2839,40.0303
-122.2499,40.0375
-122.0800,40.0732
-122.0460,40.0803
-121.9100,40.1086
-122.2932,40.0563
-122.2593,40.0635
-122.0893,40.0992
-122.0553,40.1063
-121.9192,40.1347
-122.2686,40.0895
-122.0986,40.1252
-122.2780,40.1155
-122.2440,40.1226
-122.2100,40.1298
-122.1080,40.1512
-121.9377,40.1867
-122.2874,40.1415
-122.2534,40.1486
-122.2194,40.1558
-122.1173,40.1772
-121.9129,40.2198
-122.2968,40.1675
-122.2628,40.1746
-122.1266,40.2032
-121.9222,40.2458
-122.3062,40.1934
-122.2721,40.2006
-122.1700,40.2221
-122.1359,40.2292
-122.2815,40.2266
-122.1794,40.2481
-122.1453,40.2552
-121.9407,40.2979
-122.2569,40.2598
-122.1887,40.2741
-122.1546,40.2812
-122.2663,40.2858
-122.1981,40.3001
-121.9251,40.3570
-122.2757,40.3118
-122.2075,40.3261
-121.9344,40.3830
-122.2851,40.3378
-122.2510,40.3449
-122.2169,40.3521
-121.9437,40.4090
-122.2604,40.3709
-122.2262,40.3781
-121.9530,40.4350
-122.3039,40.3898
-122.2698,40.3969
-122.2792,40.4229
-122.2451,40.4301
-122.2109,40.4372
-121.9374,40.4942
-122.2886,40.4489
-122.2203,40.4633
-121.9467,40.5202
-122.2981,40.4749
-122.1955,40.4964
-122.1613,40.5035
-121.9560,40.5462
-122.2049,40.5224
-122.1707,40.5295
-122.1365,40.5367
